year,spring1,spring1.sd,y_mean_temp,y_mean_temp.sd
1801,7.5705,5.84117640908963,9.53266666666667,6.74238122867347
1802,6.428125,5.15449346848618,8.80791666666667,7.68458361621565
1803,5.28375,6.18165552259263,7.67666666666667,7.93958285343284
1804,5.2125,6.76037523613396,8.16041666666667,7.6543876885434
1805,4.46375,4.63864186301695,6.6275,7.19323219156049
1806,7.1005,5.60089793083028,9.5245,5.83771850750628
1807,6.0995,6.07446118468219,9.001,7.9675931971915
1808,4.7985,7.42473623490389,7.50983333333333,8.75026207678544
1809,6.9005,4.90430259541236,8.57516666666667,6.75029678987616
1810,6.133,5.70722450749463,8.567,7.31271687785007
1811,9.05,6.15185608847715,10.3145833333333,8.09667621806269
1812,6.7,5.43077649451101,7.9,8.05193250228022
1813,7.316,5.03201895235323,7.93266666666667,6.80306283631147
1814,4.458,7.08093258799923,7.53766666666667,7.58609842926725
1815,8.0555,4.45156326769774,8.07033333333333,7.1632588849704
1816,4.959,5.3497800249907,6.99516666666667,6.55802845830109
1817,4.845625,4.57078982051607,7.86395833333333,6.76303838918175
1818,6.355625,4.93634408410381,8.27395833333333,6.73317184892552
