"AccName","GbifKey","OrigName","species","bioflor_id","LifeForm","LifeSpan","FlStart","FlEnd","FlDur","ReprType","Dicliny","Dichogamy","SelfComp","PollVec","PollVecGrp","BreedSys","FlowClass","Habitat","PollDep"
"Eleocharis ovata (Roth) Roem. & Schult.",2717641,"Eleocharis ovata (Roth) Roem. & Schult.","Eleocharis ovata",1060,"T","a",7,9,3,"s","so","g3, g2","SC","wi","ab","XF","W","L3","No"
"Eleocharis palustris (L.) Roem. & Schult.",2717002,"Eleocharis palustris (L.) Roem. & Schult.","Eleocharis palustris",1061,"G","p",5,8,4,"vvs","so","g3, g2","SC","wi","ab","AFXF","W","L3, S2, T7","No"
"Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer",2716818,"Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer","Eleocharis parvula",1062,"G, H","p",6,9,4,"sv","so","g3, g2","SC","wi","ab","XF","W","H1","No"
"Eleocharis quinqueflora (Hartm.) O.Schwarz",2717493,"Eleocharis quinqueflora (Hartmann) O. Schwarz","Eleocharis quinqueflora",1063,"H","p",5,6,2,"sv","so","g3, g2","SC","wi","ab","XF","W","S2","No"
"Eleocharis uniglumis Schult. & Zinserl.",2717910,"Eleocharis uniglumis (Link) Schult.","Eleocharis uniglumis",1064,"H","p",5,8,4,"vvs","so","g3, g2","SC","wi","ab","AFXF","W","L4, S2, T10, T7","No"
"Eleusine indica (L.) Gaertn.",2705953,"Eleusine indica (L.) Gaertn.","Eleusine indica",1065,"T","a",7,9,3,"s","so",NA,"SC","wi","ab","AFXF","W",NA,"No"
"Elodea callitrichoides Casp.",5329198,"Elodea callitrichoides (Rich.) Casp.","Elodea callitrichoides",1066,"A","p",6,7,2,"v","do",NA,NA,"wa","ab","X","Hy","L4","No"
"Elodea canadensis Michx.",2865448,"Elodea canadensis Michx.","Elodea canadensis",1067,"A","p",5,8,4,"v","do",NA,NA,"wa","ab","X","Hy","L3, L4","No"
"Elodea nuttallii St.John",5329212,"Elodea nuttallii (Planch.) H. St. John","Elodea nuttallii",1068,"A","p",6,9,4,"v","do",NA,"SC","wa","ab","X","Hy","L3","No"
"Elsholtzia ciliata (Thunb.) Hylander",2927075,"Elsholtzia ciliata (Thunb.) Hyl.","Elsholtzia ciliata",1069,"T","a",7,9,3,"s","so","a1","SC","se, in","se, zo","AFXF","BD","T10, T8","Intermediate"
"Leymus arenarius Hochst.",2706368,"Leymus arenarius (L.) Hochst.","Leymus arenarius",1070,"G, H","p",6,8,3,"vvs","so",NA,NA,"wi","ab",NA,"W","H1",NA
"Elymus athericus x repens",10325342,"Elytrigia x oliveri (Druce) Melderis & D. C. McClint.","Elymus athericus",1071,"G, H","p",NA,NA,NA,"sv","so",NA,NA,"wi","ab",NA,"W","H1, T6",NA
"Carex myosuroides Vill.",2710326,"Elyna myosuroides (Vill.) Fritsch","Carex myosuroides",1072,"H","p",6,8,3,"sv","mo",NA,"SC","wi","ab","AFXF","W","T3","No"
"Elymus repens (L.) Gould",5290299,"Elytrigia arenosa (Spenn.) H. Scholz","Elymus repens",1073,"G, H","p",6,7,2,"sv","so",NA,NA,"wi","ab",NA,"W","T6",NA
"Thinopyrum elongatum (Host) D.R.Dewey",4125808,"Elytrigia obtusiflora (DC). Tzvelev","Thinopyrum elongatum",1075,"H","p",7,8,2,"s","so",NA,"I","wi","ab","X","W","T10, T9","No"
"Thinopyrum intermedium (Host) Barkworth & D.R.Dewey",2704161,"Elytrigia intermedia (Host) Nevski","Thinopyrum intermedium",1076,"G, H","p",6,7,2,"sv","so",NA,"SI","wi","ab","X","W","T7","No"
"Thinopyrum junceiforme (Á.Löve & D.Löve) Á.Löve",7859914,"Elytrigia junceiformis Á. Löve & D. Löve","Thinopyrum junceiforme",1077,"G","p",6,8,3,"sv","so",NA,"SI","wi","ab","X","W","H1","No"
"Elytrigia juncea × repens",10597615,"Elytrigia x laxa (Fr.) Kerguélen","Elytrigia juncea",1079,"G","p",6,7,2,"sv","so",NA,NA,"wi","ab",NA,"W",NA,NA
"Elytrigia atherica × juncea",10424301,"Elytrigia x obtusiuscula (Lange) Hyl.","Elytrigia atherica",1080,"G, H","p",6,7,2,"sv","so",NA,NA,"wi","ab",NA,"W","H1",NA
"Empetrum nigrum L.",8925249,"Empetrum hermaphroditum Lange ex Hagerup","Empetrum nigrum",1081,"S","p",4,5,2,"sv","so",NA,NA,"wi, in","ab, zo",NA,"Wb","T3",NA
"Epilobium alpestre (Jacq.) Krocker",3663919,"Epilobium alpestre (Jacq.) Krock.","Epilobium alpestre",1083,"H","p",7,8,2,"sv","so","h","SC","se","se","AO","B","T3","No"
"Epilobium alsinifolium Vill.",3189158,"Epilobium alsinifolium Vill.","Epilobium alsinifolium",1084,"H","p",7,8,2,"sv","so","g1","SC","se, in","se, zo","AF","B","L2","Intermediate"
"Epilobium anagallidifolium Lam.",3189068,"Epilobium anagallidifolium Lam.","Epilobium anagallidifolium",1085,"H","p",7,8,2,"sv","so","h","SC","se","se","AO","B","L2","No"
"Epilobium angustifolium L.",8053718,"Epilobium angustifolium L.","Epilobium angustifolium",1086,"G, H","p",7,8,2,"sv","so","a2, a3","SC, I","se, in","se, zo","XF","B","L4, T10, T2, T3","Intermediate"
"Epilobium brachycarpum C.Presl",3189073,"Epilobium brachycarpum C. Presl","Epilobium brachycarpum",1087,"H, T","a",NA,NA,NA,"s","so",NA,"SC","se","se","AO","B","T10","No"
"Epilobium ciliatum Raf.",9188840,"Epilobium ciliatum Raf.","Epilobium ciliatum",1088,"H","p",6,9,4,"sv","so",NA,"SC","se, kl","se, se","AF","B","L4, L5, T10",NA
"Epilobium collinum C.C.Gmel.",3666788,"Epilobium collinum C. C. Gmel.","Epilobium collinum",1089,"H","p",6,9,4,"sv","so","h","SC","se, in","se, zo","AF","B","T5","Intermediate"
"Epilobium dodonaei Vill.",3666323,"Epilobium dodonaei Vill.","Epilobium dodonaei",1090,"C","p",7,9,3,"s","so","a2",NA,"se, in","se, zo",NA,"B","L5",NA
"Epilobium fleischeri Hochst.",3665986,"Epilobium fleischeri Hochst.","Epilobium fleischeri",1091,"C","p",7,9,3,"sv","so","g2, h, a2",NA,"se, in","se, zo",NA,"B","L5",NA
"Epilobium hirsutum L.",3189172,"Epilobium hirsutum L.","Epilobium hirsutum",1092,"H","p",6,9,4,"sv","so, gm, gd","h, a1, a3","SC","se, in","se, zo","XF","B","L4","Intermediate"
"Epilobium lamyi Schultz",3664802,"Epilobium lamyi F. W. Schultz","Epilobium lamyi",1093,"H","p",7,9,3,"sv","so","h","SC","se","se","AO","B","T8","No"
"Epilobium lanceolatum Sebast. & Mauri",6427899,"Epilobium lanceolatum Sebast. & Mauri","Epilobium lanceolatum",1094,"H","p",6,8,3,"sv","so",NA,"SC","se, in","se, zo","AF","B","T1, T10, T5",NA
"Epilobium montanum L.",3664083,"Epilobium montanum L.","Epilobium montanum",1095,"H","p",6,9,4,"sv","so","h","SC","se, in","se, zo","AO","B","T1, T2, T8, T9","Intermediate"
"Epilobium nutans F.W.Schmidt",7737682,"Epilobium nutans F. W. Schmidt","Epilobium nutans",1096,"H","p",7,8,2,"sv","so",NA,"SC","se","se","AF","B","L2","No"
"Epilobium obscurum Schreb.",3189152,"Epilobium obscurum Schreb.","Epilobium obscurum",1097,"H","p",6,9,4,"sv","so","h","SC","se","se","AO","B","L2, L4, S2, T7","No"
"Epilobium palustre L.",3189080,"Epilobium palustre L.","Epilobium palustre",1098,"G, H","p",7,9,3,"sv","so",NA,"SC","se, in","se, zo","AF","B","S2",NA
"Epilobium parviflorum (Schreb.) Schreb.",3189157,"Epilobium parviflorum Schreb.","Epilobium parviflorum",1099,"H","p",6,9,4,"sv","so","h","SC","se, in","se, zo","AF","B","L4, L5","Intermediate"
"Epilobium roseum (Schreb.) Schreb.",3666800,"Epilobium roseum Schreb.","Epilobium roseum",1100,"H","p",7,9,3,"sv","so","h","SC","se, in","se, zo","AF","B","L4, L5, T9","Intermediate"
"Epilobium tetragonum L.",7322563,"Epilobium tetragonum L. s. str.","Epilobium tetragonum",1101,"H","p",7,8,2,"sv","so","h","SC","se","se","AO","B","L5, T10, T7, T8","No"
"Epimedium alpinum L.",7695021,"Epimedium alpinum L.","Epimedium alpinum",1102,"G","p",3,5,3,"sv","so","g2","SC","se, in","se, zo","AFXF","B","T1","Intermediate"
