"AccName","GbifKey","OrigName","species","bioflor_id","LifeForm","LifeSpan","FlStart","FlEnd","FlDur","ReprType","Dicliny","Dichogamy","SelfComp","PollVec","PollVecGrp","BreedSys","FlowClass","Habitat","PollDep"
"Abies alba Mill.",2685484,"Abies alba Mill.","Abies alba",0,"M","p",5,6,2,"s","mo",NA,"SI","wi","ab","X","W","T1","No"
"Abutilon theophrasti Medik.",3152614,"Abutilon theophrasti Medik.","Abutilon theophrasti",1,"T","a",8,10,3,"s","so","a1","SC","se","se","AO","Po","T8","No"
"Acer campestre L.",3189863,"Acer campestre L.","Acer campestre",2,"M, N","p",5,6,2,"ssv","mo",NA,NA,"in","zo","AF","A","L5, T1",NA
"Acer monspessulanum L.",7262958,"Acer monspessulanum L.","Acer monspessulanum",3,"M, N","p",4,5,2,"s",NA,NA,NA,"in","zo",NA,"A","T1",NA
"Acer negundo L.",3189866,"Acer negundo L.","Acer negundo",4,"M","p",4,4,1,"sv","do",NA,NA,"wi","ab","X","A","L5, T1, T10","No"
"Acer opalus Mill.",7100278,"Acer opalus Mill.","Acer opalus",5,"M","p",3,4,2,"s",NA,NA,NA,"in","zo",NA,"A","T1",NA
"Acer platanoides L.",3189846,"Acer platanoides L.","Acer platanoides",6,"M","p",4,5,2,"s","mo","g2, a2","SI","in","zo","X","A","T1","Yes"
"Acer pseudoplatanus L.",3189870,"Acer pseudoplatanus L.","Acer pseudoplatanus",7,"M","p",5,5,1,"s","am","a3",NA,"in","zo","AF","A","L5, T1","Yes"
"Orchis anthropophora All.",2849624,"Aceras anthropophorum (L.) W. T. Aiton","Orchis anthropophora",8,"G","p",5,6,2,"s","so",NA,"SC","se, in","se, zo","XF","B","T6",NA
"Achillea atrata L.",3120203,"Achillea atrata L.","Achillea atrata",9,"H","p",7,9,3,"sv","gm","a2","SI","in","zo","X","B",NA,"Yes"
"Achillea clavennae L.",3120117,"Achillea clavennae L.","Achillea clavennae",10,"H","p",7,9,3,"sv","gm","a2","SI","in","zo","X","B","T3, T5","Yes"
"Achillea collina Becker ex Rchb.",7925124,"Achillea collina Becker ex Rchb.","Achillea collina",11,"H","p",6,11,6,"sv","gm","a2","SI","in","zo","X","B","T6","Yes"
"Achillea crithmifolia Waldst. & Kit.",8059665,"Achillea crithmifolia Waldst. & Kit.","Achillea crithmifolia",12,"H","p",5,10,6,"sv","gm","a2","SI","in","zo","X","B","T10, T8","Yes"
"Achillea macrophylla L.",3118536,"Achillea macrophylla L.","Achillea macrophylla",13,"H","p",7,9,3,"sv","gm","a2","SI","se, in","se, zo","X","B",NA,"Intermediate"
"Achillea millefolium L.",3120060,"Achillea millefolium L.","Achillea millefolium",14,"H","p",6,10,5,"sv","gm, gd","a2","SI","in","zo","X","B","T10, T6, T7, T8, T9","Yes"
"Achillea nobilis L.",3120024,"Achillea nobilis L.","Achillea nobilis",15,"H","p",6,10,5,"sv","gm","a2","SI","in","zo","X","B","T6, T7","Yes"
"Achillea pannonica Scheele",3120129,"Achillea pannonica Scheele","Achillea pannonica",16,"H","p",6,8,3,"sv","gm","a2","SI","in","zo","X","B","T6","Yes"
"Achillea pratensis J.Saukel & R.Länger",3120104,"Achillea pratensis Saukel & R. Länger","Achillea pratensis",17,"H","p",5,11,7,"sv","gm","a2","SI","in","zo","X","B","T6, T7","Yes"
"Achillea ptarmica L.",3120333,"Achillea ptarmica L.","Achillea ptarmica",18,"H","p",7,9,3,"sv","gm","a2","SI","in","zo","X",NA,"L4","Yes"
"Achillea roseo-alba Ehrend.",3120385,"Achillea roseoalba Ehrend.","Achillea roseo",19,"H","p",5,10,6,"sv","gm","a2","SI","in","zo","X","B","T7","Yes"
"Achillea salicifolia Bess.",3120376,"Achillea salicifolia Besser","Achillea salicifolia",20,"H","p",7,9,3,"sv","gm","a2","SI","in","zo","X","B","L5","Yes"
"Achillea setacea Waldst. & Kit.",3120066,"Achillea setacea Waldst. & Kit.","Achillea setacea",21,"H","p",5,6,2,"sv","gm","a2","SI","in","zo","X","B","T6","Yes"
"Achnatherum calamagrostis P.Beauv.",4142326,"Achnatherum calamagrostis (L.) P. Beauv.","Achnatherum calamagrostis",22,"H","p",6,9,4,"sv","so",NA,NA,"wi","ab",NA,"W","L5, T3, T5",NA
"Clinopodium alpinum Kuntze",7307319,"Acinos alpinus (L.) Moench","Clinopodium alpinum",23,"H, S","p",7,9,3,"s","so, gd","h, a2","SC","se, in","se, zo","AFXF","H","L5, T1, T3","Intermediate"
"Clinopodium acinos Kuntze",2927118,"Acinos arvensis (Lam.) Dandy","Clinopodium acinos",24,"H, T","a, b, h, p",6,9,4,"s","gd","a2","SC","in","zo","XF","H","T10, T5, T6","Intermediate"
"Aconitum napellus L.",3033665,"Aconitum napellus L.","Aconitum napellus",25,"H","p",6,8,3,"s","so","a2",NA,"se, in","se, zo",NA,"Hh","L5, T3",NA
"Aconitum degenii Gayer",8295887,"Aconitum degenii (Arcang.) Mucher","Aconitum degenii",26,"H","p",7,9,3,"s","so","a2",NA,"in","zo",NA,"Hh","L5, T3",NA
"Aconitum pilipes (Rchb.) Gáyer",7730898,"Aconitum pilipes (Rchb.) Gáyer","Aconitum pilipes",27,"H","p",7,9,3,"s","so","a2",NA,"in","zo",NA,"Hh","T3",NA
"Aconitum plicatum Koehler ex Rchb.",7276774,"Aconitum plicatum Köhler ex Rchb.","Aconitum plicatum",28,"H","p",8,10,3,"s","so",NA,NA,"in","zo",NA,"Hh","L5",NA
"Aconitum tauricum Wulfen",7278285,"Aconitum tauricum Wulfen","Aconitum tauricum",29,"H","p",8,10,3,"s","so",NA,NA,"in","zo",NA,"Hh","T3",NA
"Aconitum variegatum L.",8090449,"Aconitum variegatum L.","Aconitum variegatum",30,"H","p",7,9,3,"s","so","a2",NA,"in","zo",NA,"Hh","L5, T1, T2, T3",NA
"Aconitum austriacum W.Mucher",7496301,"Aconitum x austriacum Mucher ","Aconitum austriacum",32,"H","p",NA,NA,NA,"s","so","a2",NA,"in","zo",NA,"Hh",NA,NA
"Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal",8848208,"Aconogonon polystachyum (Wall. ex Meisn.) Small","Koenigia polystachya",35,"G","p",9,10,2,"v",NA,NA,NA,NA,NA,NA,"B","T8",NA
"Acorus calamus L.",2873769,"Acorus calamus L.","Acorus calamus",36,"G","p",6,7,2,"v","so","g3",NA,NA,NA,NA,"A","L3",NA
"Rhaponticum repens (L.) Hidalgo",3142208,"Acroptilon repens (L.) DC.","Rhaponticum repens",37,"G","p",7,9,3,"vvs","so","a2","SI","in","zo","X","B","T10","Yes"
"Actaea spicata L.",5371473,"Actaea spicata L.","Actaea spicata",38,"H","p",5,6,2,"sv","so","g2","SC","se, in","se, zo","AFXF","Po","T1","Intermediate"
"Adenophora liliifolia (L.) A.DC.",5409500,"Adenophora liliifolia (L.) DC.","Adenophora liliifolia",39,"H","p",7,9,3,"s","so","a3",NA,"se, in","se, zo",NA,"B","L5, T1",NA
"Adenostyles alliariae Kern.",3133702,"Adenostyles alliariae (Gouan) A. Kern.","Adenostyles alliariae",40,"H","p",7,8,2,"sv","so","a2",NA,"se, in","se, zo",NA,"B","T1",NA
"Adenostyles alpina (L.) Bluff & Fingerh.",3133705,"Adenostyles glabra (Mill.) DC.","Adenostyles alpina",41,"H","p",7,8,2,"sv","so",NA,NA,"se, in","se, zo",NA,"B","T1",NA
"Adonis aestivalis L.",5371707,"Adonis aestivalis L.","Adonis aestivalis",42,"H, T","a",5,7,3,"s","so","g1",NA,"se, in","se, zo",NA,"Po","T9",NA
"Adonis annua L.",5371709,"Adonis annua L.","Adonis annua",43,"H, T","a",6,9,4,"s","so",NA,NA,"se, in","se, zo",NA,"Po",NA,NA
"Adonis flammea Jacq.",8246651,"Adonis flammea Jacq.","Adonis flammea",44,"H, T","a",5,7,3,"s","so",NA,NA,"se, in","se, zo",NA,"Po","T9",NA
"Adonis vernalis L.",5371711,"Adonis vernalis L.","Adonis vernalis",45,"H","p",4,5,2,"sv","so","g1","SI","se, in","se, zo","X","Po","T6","Intermediate"
"Adoxa moschatellina L.",2888794,"Adoxa moschatellina L.","Adoxa moschatellina",46,"G","p",3,5,3,"vvs","so","g1, h, a1","I","se, in, sn","se, zo, zo","X","A","T1","Intermediate"
"Aegopodium podagraria L.",3034620,"Aegopodium podagraria L.","Aegopodium podagraria",47,"H","p",6,7,2,"vvs","am","a1","SC","in","zo","XF","A","L5, T1","Intermediate"
"Aesculus hippocastanum L.",3189815,"Aesculus hippocastanum L.","Aesculus hippocastanum",48,"M","p",5,6,2,"s","tm","g2","SC","in","zo","XF","B","T1","Intermediate"
"Aethionema saxatile (L.) R.Br.",7870683,"Aethionema saxatile (L.) R. Br.","Aethionema saxatile",49,"C","b, h, p",4,6,3,"s","so","g1, h","SC","se, in","se, zo","AF","AB","L5","Intermediate"
"Aethusa cynapium L.",5371825,"Aethusa cynapium L.","Aethusa cynapium",50,"H, T","a",6,9,4,"s","so, am","g1, h, a1","SC","se, in","se, zo","AF","A","T10, T9","Intermediate"
"Agrimonia eupatoria L.",3001956,"Agrimonia eupatoria L.","Agrimonia eupatoria",51,"H","p",6,9,4,"s","so","h","SC","se, in","se, zo","AF","Po","T2, T6","Intermediate"
"Agrimonia procera Wallr.",3002121,"Agrimonia procera Wallr.","Agrimonia procera",52,"H","p",6,8,3,"sv","so",NA,"SC","se, in","se, zo","AF","Po","T2, T8",NA
"Agrostemma githago L.",3085368,"Agrostemma githago L.","Agrostemma githago",53,"H, T","a",6,7,2,"s","so, gm, gd","h, a1, a2","SC","se, in","se, zo","AFXF","Ft","T9","Intermediate"
"Agrostis agrostiflora (Beck) Janch. & H.Neumayer",4127117,"Agrostis agrostiflora (Beck) Rauschert","Agrostis agrostiflora",54,"H","p",7,8,2,"sv","so",NA,"SI","wi","ab","X","W","T3","No"
"Agrostis alpina Scop.",4126789,"Agrostis alpina Scop.","Agrostis alpina",55,"H","p",7,9,3,"sv","so",NA,"SI","wi","ab","X","W","T3","No"
"Agrostis canina L.",2706465,"Agrostis canina L.","Agrostis canina",56,"H","p",6,8,3,"sv","so",NA,"I, SI","wi","ab","X","W","L4, S1, S2","No"
"Agrostis capillaris L.",2706490,"Agrostis capillaris L.","Agrostis capillaris",57,"H","p",6,7,2,"sv","so",NA,"I, SI","wi","ab","X","W","S2, T2, T4, T6, T7","No"
"Agrostis castellana Boiss. & Reut.",2706501,"Agrostis castellana Boiss. & Reut.","Agrostis castellana",58,"H","p",6,7,2,"sv","so",NA,"SI","wi","ab","X","W","T8, T9","No"
"Agrostis gigantea Roth",2706541,"Agrostis gigantea Roth","Agrostis gigantea",59,"G, H","p",6,7,2,"sv","so",NA,"I, SI","wi","ab","X","W","L3, L4, T7","No"
"Agrostis rupestris All.",2706525,"Agrostis rupestris All.","Agrostis rupestris",60,"H","p",7,8,2,"s","so",NA,"SI","wi","ab","X","W","T1, T3","No"
"Agrostis scabra Willd.",2706444,"Agrostis scabra Willd.","Agrostis scabra",61,"H, T","a, p",6,7,2,"s","so",NA,"SI","wi","ab","X","W","L3, T7","No"
"Agrostis schleicheri Jord. & Verlot",4116935,"Agrostis schleicheri Jord. & Verl.","Agrostis schleicheri",62,"H","p",7,9,3,"sv","so",NA,"SI","wi","ab","X","W","T3","No"
"Agrostis stolonifera L.",2706435,"Agrostis stolonifera L.","Agrostis stolonifera",63,"H","p",6,7,2,"sv","so",NA,"I, SI","wi","ab","X","W","H1, H2, T10, T7, T9","No"
"Agrostis vinealis Schreb.",2706458,"Agrostis vinealis Schreb.","Agrostis vinealis",64,"H","p",6,9,4,"sv","so",NA,"SI","wi","ab","X","W","T4, T5","No"
"Agrostis murbeckii Fouill.",4119622,"Agrostis x murbeckii Fouill. ex P. Fourn. ","Agrostis murbeckii",65,"H","p",NA,NA,NA,"sv","so",NA,"SI","wi","ab","X","W",NA,"No"
"Ailanthus altissima (Mill.) Swingle",3190653,"Ailanthus altissima (Mill.) Swingle","Ailanthus altissima",66,"M","p",7,7,1,"sv","so, mo, do",NA,NA,"in","zo","X","A","T10, T2",NA
"Aira caryophyllea L.",7747216,"Aira caryophyllea L. s. str.","Aira caryophyllea",67,"H, T","a",6,7,2,"s","so",NA,"SC","se","se","AO","W","T10, T5","No"
"Aira elegans Willd. ex Roem. & Schult.",7948459,"Aira elegantissima Schur","Aira elegans",68,"T","a",5,8,4,"s","so",NA,NA,"wi","ab",NA,"W",NA,NA
"Aira praecox L.",5289582,"Aira praecox L.","Aira praecox",69,"H, T","a",5,6,2,"s","so",NA,NA,"wi","ab",NA,"W","T10, T6",NA
"Ajuga chamaepitys (L.) Schreb.",2927080,"Ajuga chamaepitys (L.) Schreb.","Ajuga chamaepitys",70,"H, T","a",5,9,5,"s","so",NA,"SC","se, in","se, zo","XF","Hh","T6, T9",NA
"Ajuga genevensis L.",2927079,"Ajuga genevensis L.","Ajuga genevensis",71,"H","p",4,6,3,"ssv","so","a2","SC","se, in","se, zo","XF","Hh","T6, T7","Intermediate"
"Ajuga pyramidalis L.",8429926,"Ajuga pyramidalis L.","Ajuga pyramidalis",72,"H","p",5,8,4,"ssv","gm","h, a1","SC","se, in","se, zo","AFXF","Hh","T6","Intermediate"
"Ajuga reptans L.",2927078,"Ajuga reptans L.","Ajuga reptans",73,"H","p",5,8,4,"sv","so","h","SC, C","se, in","se, zo","AFXF","Hh","T1","Intermediate"
"Alcea rosea L.",5406789,"Alcea rosea L.","Alcea rosea",74,"H","b, p",6,10,5,"s","so","a3","SC","se, in","se, zo","AFXF","B","T10, T8, T9","Intermediate"
"Alchemilla plicatula Gand.",3027974,"Alchemilla alpigena Buser","Alchemilla plicatula",75,"S","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3, T5",NA
"Alchemilla alpina L.",3027648,"Alchemilla alpina L.","Alchemilla alpina",76,"S","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3",NA
"Alchemilla connivens Buser",3028082,"Alchemilla cleistophylla Rothm. & O. Schwarz","Alchemilla connivens",77,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3",NA
"Alchemilla colorata Buser",3027495,"Alchemilla colorata Buser","Alchemilla colorata",78,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3",NA
"Alchemilla conjuncta Bab.",3028431,"Alchemilla conjuncta Bab.","Alchemilla conjuncta",79,"S","p",NA,NA,NA,"sv","so","a2",NA,NA,NA,NA,"AD",NA,NA
"Alchemilla coriacea Buser",3028252,"Alchemilla coriacea Buser","Alchemilla coriacea",81,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","L2, S2, T3, T7",NA
"Alchemilla crinita Buser",3028699,"Alchemilla crinita Buser","Alchemilla crinita",82,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","T3, T6, T7",NA
"Alchemilla cuspidens Buser",3028127,"Alchemilla cuspidens Buser","Alchemilla cuspidens",83,"H","p",NA,NA,NA,"sv","so","a2",NA,NA,NA,NA,"AD","T3",NA
"Alchemilla cymatophylla Juz.",3027997,"Alchemilla cymatophylla Juz.","Alchemilla cymatophylla",84,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","S2, T7",NA
"Alchemilla decumbens Buser",3028988,"Alchemilla decumbens Buser","Alchemilla decumbens",85,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","L2, T3",NA
"Alchemilla effusa Buser",3028884,"Alchemilla effusa Buser","Alchemilla effusa",86,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","L2, T3, T7",NA
"Alchemilla exigua Buser ex Paulin",3028463,"Alchemilla exigua Buser ex Paulin","Alchemilla exigua",87,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD",NA,NA
"Alchemilla fallax Buser ex M.Besse",8218176,"Alchemilla fallax Buser","Alchemilla fallax",88,"H, S","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3",NA
"Alchemilla filicaulis Buser",3027485,"Alchemilla filicaulis Buser","Alchemilla filicaulis",89,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","T1, T7, T9",NA
"Alchemilla firma Buser",3028479,"Alchemilla firma Buser","Alchemilla firma",90,"H","p",NA,NA,NA,"sv","so","a2",NA,NA,NA,NA,"AD",NA,NA
"Alchemilla fissa Günther & Schummel",3028424,"Alchemilla fissa Günther & Schummel","Alchemilla fissa",91,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","L2, T3, T5",NA
"Alchemilla flabellata Buser",3027735,"Alchemilla flabellata Buser","Alchemilla flabellata",92,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3",NA
"Alchemilla glabra Neygenf.",3027640,"Alchemilla glabra Neygenf.","Alchemilla glabra",93,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","L2, L4, T3, T7",NA
"Alchemilla glaucescens Wallr.",3027452,"Alchemilla glaucescens Wallr.","Alchemilla glaucescens",94,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","T3, T4, T6",NA
"Alchemilla glomerulans Buser",3028402,"Alchemilla glomerulans Buser","Alchemilla glomerulans",95,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","L2, T3",NA
"Alchemilla grossidens Buser",3028648,"Alchemilla grossidens Buser","Alchemilla grossidens",96,"S","p",NA,NA,NA,"sv","so","a2",NA,NA,NA,NA,"AD","T3",NA
"Alchemilla lunaria S.E.Fröhner",3027860,"Alchemilla lunaria S. E. Fröhner","Alchemilla lunaria",97,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3, T7",NA
"Alchemilla hoppeana Buser",7674121,"Alchemilla hoppeana (Rchb.) Dalla Torre","Alchemilla hoppeana",98,"S","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3, T5, T6",NA
"Alchemilla impexa Buser",7560544,"Alchemilla impexa Buser","Alchemilla impexa",99,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3, T5",NA
"Alchemilla incisa Buser",3027518,"Alchemilla incisa Buser","Alchemilla incisa",100,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","L2, L5, T3",NA
"Alchemilla inconcinna Buser",3028706,"Alchemilla inconcinna Buser","Alchemilla inconcinna",101,"H","p",NA,NA,NA,"sv","so","a2",NA,NA,NA,NA,"AD",NA,NA
"Alchemilla kerneri Rothm.",3027572,"Alchemilla kerneri Rothm.","Alchemilla kerneri",102,"H","p",NA,NA,NA,"sv","so","a2",NA,NA,NA,NA,"AD",NA,NA
"Alchemilla lineata Buser",3027601,"Alchemilla lineata Buser","Alchemilla lineata",103,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3",NA
"Alchemilla micans Buser",3027791,"Alchemilla micans Buser","Alchemilla micans",104,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","T3, T7",NA
"Alchemilla mollis (Buser) Rothm.",3028528,"Alchemilla mollis (Buser) Rothm.","Alchemilla mollis",105,"H, S","p",6,8,3,"sv","so","a2",NA,NA,NA,NA,"AD","L4, L5, T1, T3, T8",NA
"Alchemilla monticola Opiz",3028763,"Alchemilla monticola Opiz","Alchemilla monticola",106,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","T1",NA
"Alchemilla obscura Buser",3028047,"Alchemilla obscura Buser","Alchemilla obscura",107,"H","p",NA,NA,NA,"sv","so","a2",NA,NA,NA,NA,"AD",NA,NA
"Alchemilla obtusa Buser",3028609,"Alchemilla obtusa Buser","Alchemilla obtusa",108,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3",NA
"Alchemilla othmarii Buser",3028506,"Alchemilla othmarii Buser","Alchemilla othmarii",109,"H","p",6,8,3,"sv","so","a2",NA,NA,NA,NA,"AD","T3",NA
"Alchemilla pallens Buser",3028986,"Alchemilla pallens Buser","Alchemilla pallens",110,"S","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3, T5",NA
"Alchemilla plicata Buser",3027653,"Alchemilla plicata Buser","Alchemilla plicata",111,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","T3",NA
"Alchemilla propinqua H.Lindb. ex Juz.",3027751,"Alchemilla propinqua H. Lindb. ex Juz.","Alchemilla propinqua",112,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","T7",NA
"Alchemilla reniformis Buser",3028155,"Alchemilla reniformis Buser","Alchemilla reniformis",113,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","L2, L4, T3, T6, T7",NA
"Alchemilla rubristipula Buser",3028055,"Alchemilla rubristipula Buser","Alchemilla rubristipula",114,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3",NA
"Alchemilla sinuata Buser",3028061,"Alchemilla sinuata Buser","Alchemilla sinuata",115,"H","p",NA,NA,NA,"sv","so","a2",NA,NA,NA,NA,"AD",NA,NA
"Alchemilla straminea Buser",3028171,"Alchemilla straminea Buser","Alchemilla straminea",117,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","L2, L4, S2, T3",NA
"Alchemilla strigosula Buser ex C.DC.",9630454,"Alchemilla strigosula Buser","Alchemilla strigosula",118,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","T6",NA
"Alchemilla subcrenata Buser",3028176,"Alchemilla subcrenata Buser","Alchemilla subcrenata",119,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","T3, T7",NA
"Alchemilla subglobosa C.G.Westerl.",7350401,"Alchemilla subglobosa C. G. Westerl.","Alchemilla subglobosa",120,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","T6, T7",NA
"Alchemilla tenuis Buser",3027730,"Alchemilla tenuis Buser","Alchemilla tenuis",121,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","L2, T3",NA
"Alchemilla tirolensis Buser ex Dalla Torre & Sarnth.",3027951,"Alchemilla tirolensis Buser ex Dalla Torre & Sarnth.","Alchemilla tirolensis",122,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","T3",NA
"Alchemilla trunciloba Buser",3027764,"Alchemilla trunciloba Buser","Alchemilla trunciloba",123,"H","p",NA,NA,NA,"sv","so","a2",NA,NA,NA,NA,"AD",NA,NA
"Alchemilla undulata Buser",3028058,"Alchemilla undulata Buser","Alchemilla undulata",124,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD","L2, T3",NA
"Alchemilla versipila Buser",3028566,"Alchemilla versipila Buser","Alchemilla versipila",125,"H","p",6,10,5,"sv","so","a2",NA,NA,NA,NA,"AD",NA,NA
"Alchemilla vulgaris L.",7890713,"Alchemilla vulgaris L.","Alchemilla vulgaris",126,"H","p",6,8,3,"sv","so, gm, gd, am, ad","a2",NA,NA,NA,NA,"AD","L5, T1, T3, T7, T8, T9",NA
"Alchemilla xanthochlora Rothm.",3028198,"Alchemilla xanthochlora Rothm.","Alchemilla xanthochlora",127,"H","p",5,10,6,"sv","so","a2",NA,NA,NA,NA,"AD","L5, T1, T3, T7, T8, T9",NA
"Aldrovanda vesiculosa L.",3190715,"Aldrovanda vesiculosa L.","Aldrovanda vesiculosa",128,"A, G","p",7,8,2,"vvs","so","h","SC","kl","se","AO","AB","L3","No"
"Alisma gramineum Lej.",2865152,"Alisma gramineum Lej.","Alisma gramineum",129,"A, G","p",7,8,2,"sv","so","h","SC","wi, in","ab, zo","AFXF","AB","L3","Intermediate"
"Alisma lanceolatum With.",2865125,"Alisma lanceolatum With.","Alisma lanceolatum",130,"A, G","p",6,7,2,"sv","so","h","SC","wi, in","ab, zo","AFXF","AB","L3, L4, T7","Intermediate"
"Alisma plantago-aquatica L.",2865100,"Alisma plantago-aquatica L. s. str.","Alisma plantago",131,"A, G","p",7,8,2,"sv","so","h","SC, C","wi, in","ab, zo","AFXF","AB","L3, L4","Intermediate"
"Alliaria petiolata (M.Bieb.) Cavara & Grande",5376075,"Alliaria petiolata (M. Bieb.) Cavara & Grande","Alliaria petiolata",132,"C, H","a, p",4,6,3,"s","so","h","SC","se, in","se, zo","AF","AB","L5, T1, T2","Intermediate"
"Allium angulosum L.",2855717,"Allium angulosum L.","Allium angulosum",133,"G","p",7,8,2,"sv","so","a2",NA,"se, in","se, zo",NA,"B","L3, T7",NA
"Allium atropurpureum Waldst. & Kit.",2856009,"Allium atropurpureum Waldst. & Kit.","Allium atropurpureum",134,"G","p",6,6,1,"s","so","a2",NA,"in","zo",NA,"B",NA,NA
"Allium carinatum L.",2855968,"Allium carinatum L. s. str.","Allium carinatum",135,"G","p",6,7,2,"vvs","so","a2",NA,"in","zo",NA,"B","T6",NA
"Allium cepa L.",2857697,"Allium cepa L.","Allium cepa",136,"G, H","p",6,8,3,"s","so","a3","SC","se, in","se, zo","X","B",NA,"Intermediate"
"Allium fistulosum L.",2856504,"Allium fistulosum L.","Allium fistulosum",138,"G, H","p",6,8,3,"s","so","a2",NA,"ge, in","se, zo",NA,"B",NA,NA
"Allium flavum L.",2856261,"Allium flavum L.","Allium flavum",139,"G","p",6,8,3,"s","so","a2",NA,"in","zo",NA,"B",NA,NA
"Allium vineale L.",7792960,"Allium kochii Lange","Allium vineale",140,"G","p",6,8,3,"vvs","so","a2",NA,"in","zo",NA,"B",NA,NA
"Allium strictum Schrad.",2856145,"Allium strictum Schrad.","Allium strictum",141,"G","p",6,8,3,"sv","so","g3",NA,"in","zo",NA,"B","T6","Yes"
"Allium nigrum L.",2855823,"Allium nigrum L.","Allium nigrum",142,"G","p",5,6,2,"vvs","so","a2","SI","in","zo","X","B","T9","Yes"
"Allium oleraceum L.",2857071,"Allium oleraceum L.","Allium oleraceum",143,"G","p",7,8,2,"vvs","so","a3",NA,"in","zo",NA,"B","T6, T9","Yes"
"Allium paradoxum G.Don",2857017,"Allium paradoxum (M. Bieb.) G. Don","Allium paradoxum",144,"G","p",4,5,2,"v","so","a2",NA,"in","zo",NA,"B","L5, T1",NA
"Allium ampeloprasum L.",2856037,"Allium ampeloprasum L.","Allium ampeloprasum",145,"G","p",6,8,3,"s","so","a3",NA,"in","zo",NA,"B",NA,"Yes"
"Allium rotundum L.",2855963,"Allium rotundum L.","Allium rotundum",146,"G","p",6,8,3,"sv","so","a3",NA,"se, in","se, zo",NA,"B","T6, T9",NA
"Allium sativum L.",2856681,"Allium sativum L.","Allium sativum",147,"G","p",7,8,2,"v","so","a2",NA,"in","zo",NA,"B",NA,NA
"Allium schoenoprasum L.",2855860,"Allium schoenoprasum L.","Allium schoenoprasum",148,"G","p",6,8,3,"sv","so","a1, a2","SC, C","se, in","se, zo","X, XF","B","S2, T5, T6, T7","Intermediate"
"Allium scorodoprasum L.",9177060,"Allium scorodoprasum L. s. str.","Allium scorodoprasum",149,"G","p",6,7,2,"vvs","so","a2",NA,"in","zo",NA,"B","L5, T10, T7, T9",NA
"Allium lusitanicum Lam.",2855705,"Allium lusitanicum Lam. ","Allium lusitanicum",150,"G, H","p",7,8,2,"sv","so","a1",NA,"se, in","se, zo",NA,"B","T6",NA
"Allium sphaerocephalon L.",2857616,"Allium sphaerocephalon L.","Allium sphaerocephalon",151,"G","p",6,7,2,"s","so","a1, a2",NA,"se, in","se, zo",NA,"B","T6",NA
"Allium suaveolens Jacq.",2855738,"Allium suaveolens Jacq.","Allium suaveolens",152,"G","p",7,9,3,"sv","so","a2",NA,"se, in","se, zo",NA,"B","T7",NA
