"SciName","species","bioflor_id","LifeForm","LifeSpan","FlStart","FlEnd","FlDur","ReprType","Dicliny","Dichogamy","SelfComp","PollVec","PollVecGrp","BreedSys","FlowClass","Habitat","PollDep","AccName","GbifKey"
"Rumex crispus L.","Rumex crispus",2992,"H","p",6,8,3,"sv","so, gd, ad","h, a3","C","wi","ab","AFXF","Wb","T7, T9.1","No","Rumex crispus L.","8195144"
"Rumex hydrolapathum Huds.","Rumex hydrolapathum",2993,"H","p",7,8,2,"ssv","so",NA,NA,"wi","ab",NA,"Wb","L3.1.5, L3.2.5, L3.9.5",NA,"Rumex hydrolapathum Huds.","7291247"
"Rumex longifolius DC.","Rumex longifolius",2994,"H","p",7,8,2,"s","so, gm","g2, h",NA,"wi","ab",NA,"Wb","T7.4.1",NA,"Rumex longifolius DC.","2888946"
"Rumex maritimus L.","Rumex maritimus",2995,"T","a",7,9,3,"s","so, gm, ad","h","SC","wi, se","ab, se","AF","Wb","L3, L4.4","Intermediate","Rumex maritimus L.","2888980"
"Rumex nivalis Hegetschw.","Rumex nivalis",2996,"C","p",7,9,3,"s","do",NA,NA,"wi","ab","X","Wb","T3.3.2","No","Rumex nivalis Hegetschw.","4037955"
"Rumex obtusifolius L.","Rumex obtusifolius",2997,"H","p",7,8,2,"ssv","so, gm, ad","g2, a3","C","wi","ab","XF","Wb","L4.4, T10.1.6, T10.7, T7.4.1, T8.2.2.1","No","Rumex obtusifolius L.","2889011"
"Rumex palustris Sm.","Rumex palustris",2998,"H","a",7,9,3,"s","so",NA,NA,"wi","ab",NA,"Wb","L5.2.4.1",NA,"Rumex palustris Sm.","4037603"
"Rumex patientia L.","Rumex patientia",2999,"H","p",7,8,2,"ssv","so",NA,NA,"wi","ab",NA,"Wb","T8.2.2.6, T9.2, T9.3",NA,"Rumex patientia L.","2889019"
"Rumex pulcher L.","Rumex pulcher",3000,"H","p",5,7,3,"s","so, gm, ad",NA,NA,"wi, se","ab, se",NA,"Wb","T10.3.1, T10.3.2, T8.3.1",NA,"Rumex pulcher L.","2888978"
"Rumex rugosus Campd.","Rumex rugosus",3001,"H","p",5,7,3,"s","do",NA,NA,"wi","ab","X","Wb",NA,"No","Rumex rugosus Campd.","2889037"
"Rumex sanguineus L.","Rumex sanguineus",3002,"H","p",6,8,3,"ssv","so, am, ad",NA,NA,"wi","ab",NA,"Wb","L5.2.3, T2.2.2, T8.2.1.2",NA,"Rumex sanguineus L.","2888960"
"Rumex scutatus L.","Rumex scutatus",3003,"C","p",5,8,4,"sv","so, gm, ad","a3",NA,"wi","ab",NA,"Wb","T5.1.2.1",NA,"Rumex scutatus L.","2888961"
"Rumex stenophyllus Ledeb.","Rumex stenophyllus",3004,"H","p",7,8,2,"s","so",NA,NA,"wi","ab",NA,"Wb","L5.2.4.2",NA,"Rumex stenophyllus Ledeb.","2889023"
"Rumex thyrsiflorus Fingerh.","Rumex thyrsiflorus",3005,"H","p",7,8,2,"s","do",NA,NA,"wi","ab","X","Wb","T6.2.2.2.3, T7.1.2, T7.5.2","No","Rumex thyrsiflorus Fingerh.","6391417"
"Rumex salicifolia Weinm.","Rumex salicifolius",3006,"H","p",6,9,4,"ssv","so",NA,NA,"wi","ab",NA,"Wb","T7.4.1",NA,"Rumex salicifolius Weinm.","2888990"
"Rumex x heterophyllus Schultz ","Rumex heterophyllus",3007,"H","p",NA,NA,NA,"ssv","so",NA,NA,"wi","ab",NA,"Wb",NA,NA,"Rumex heterophyllus Schultz","4033306"
"Ruppia cirrhosa (Petagna) Grande","Ruppia cirrhosa",3008,"A","p",6,10,5,"sv","so","g2, h, a2","SC","wa, se","ab, se","AF","Hy","H1.3.1.2","Intermediate","Ruppia cirrhosa Grandr","2863987"
"Ruppia maritima L.","Ruppia maritima",3009,"A","p",6,10,5,"sv","so","a2","SC","wa, se","ab, se","AF","Hy","H1.3.1.2","Intermediate","Ruppia maritima L.","2864004"
"Ruta graveolens L.","Ruta graveolens",3010,"C, S","p",6,8,3,"s","so","a2, a3",NA,"se, in","se, zo",NA,"A","T10.2.2.2, T10.4.4",NA,"Ruta graveolens L.","3190382"
"Sagina apetala Ard. s. str.","Sagina apetala",3011,"T","a",4,7,4,"s","so","a1","SC","se, in","se, zo","AO","AB","L3.3.7.3, T6.2.1.4.5","Intermediate","Sagina apetala Ard.","8941837"
"Sagina maritima G. Don","Sagina maritima",3012,"T","a",5,8,4,"s","so","a1","SC","se, in","se, zo","AO","AB","H1.1.3.4","Intermediate","Sagina maritima G.Don","3085407"
"Sagina micropetala Rauschert","Sagina micropetala",3013,"T","a",5,9,5,"s","so",NA,"SC","se","se","AO","AB","L3.3.7.3, T7.4.2, T9.1","No","Sagina micropetala Rauschert","3808928"
"Sagina nodosa (L.) Fenzl","Sagina nodosa",3014,"H","p",6,8,3,"sv","gm, gd","a2","SC","se, in","se, zo","AFXF, AO","AB","H1.1.3.4, L3.3.7.3, S2.2.2","Intermediate","Sagina nodosa (L.) Fenzl","3085388"
"Sagina procumbens L.","Sagina procumbens",3015,"C","p",5,9,5,"s","so, gm","h","SC","se, in","se, zo","AO","AB","L2, L3, L3.7.3, T10.3.3.2, T7.4.2","Intermediate","Sagina procumbens L.","3085402"
"Sagina saginoides (L.) H. Karst.","Sagina saginoides",3016,"H","p",6,8,3,"s","gm, gd","g1, h","SC","se, in","se, zo","AFXF","AB","L2.3.1.1, T3.3, T6.2.1.5","Intermediate","Sagina saginoides (L.) H.Karst.","3085391"
"Sagina subulata (Sw.) C. Presl","Sagina alexandrae",3017,"C","p",6,8,3,"s","so","g2, a1","SC","se, in","se, zo","AF","AB","T9.5.3","Intermediate","Sagina alexandrae Iamonico","9440906"
"Sagina x normaniana Lagerh.","Sagina normaniana",3018,"H","p",6,8,3,"s","so",NA,"SC","se","se","AO","AB",NA,"No","Sagina normaniana Lagerh.","3812722"
"Sagittaria latifolia Willd.","Sagittaria latifolia",3019,"A, G","p",8,9,2,"sv","mo","g2","SC","in","zo","XF","Po","L3.1.5, L3.2.5, L3.7.5, L4.1, L4.2, L4.3, L4.4","Intermediate","Sagittaria latifolia Willd.","5328909"
"Sagittaria sagittifolia L.","Sagittaria sagittifolia",3020,"A, G","p",6,8,3,"sv","mo",NA,"SC","in","zo","AFXF","Po","L3.1.5, L3.2.5, L3.9.5, L4.1, L4.2, L4.3, L4.4",NA,"Sagittaria sagittifolia L.","5328882"
"Salicornia europaea L. s. l.","Salicornia europaea",3021,"T","a",8,10,3,"s","so","g2, g1","SC","wi, se, kl","ab, se, se","AF","Wb","H1.1.2.1.2, H2","Intermediate","Salicornia europaea L.","9823570"
"Salicornia procumbens Sm.","Salicornia procumbens",3022,"T","a",8,10,3,"s","so","g1","SC","wi, se","ab, se","AF","Wb","H1.1.2.3.2","Intermediate","Salicornia procumbens Sm.","6035873"
"Salicornia stricta Dumort.","Salicornia europaea",3023,"T","a",8,10,3,"s","so","g1","SC","wi, se","ab, se","AF","Wb","H1.1.2.1.2","Intermediate","Salicornia europaea L.","9823570"
"Salix acutifolia Willd.","Salix acutifolia",3024,"M, N","p",3,4,2,"s","so, mo, do",NA,NA,"wi, in","ab, zo","X","AB","L4.1, L4.2, L4.3, L4.4",NA,"Salix acutifolia Willd.","7645931"
"Salix alba L.","Salix alba",3025,"M","p",4,5,2,"s","do",NA,NA,"in","zo","X","AB","L4.1, L4.2, L4.3, L4.4, L5.2.2","Yes","Salix alba L.","5372513"
"Salix alpina Scop.","Salix alpina",3026,"S","p",6,7,2,"sv","do",NA,NA,"in","zo","X","AB","T3.1.1","Yes","Salix alpina Scop.","7698834"
"Salix appendiculata Vill.","Salix appendiculata",3027,"M, N","p",4,5,2,"s","do",NA,NA,"in","zo","X","AB","T3.1.1","Yes","Salix appendiculata Vill.","5583213"
"Salix aurita L.","Salix aurita",3028,"N","p",4,5,2,"s","do",NA,NA,"in","zo","X","AB","L3.1, S3.1, S3.2.1, T2.1.1","Yes","Salix aurita L.","5372876"
"Salix bicolor Ehrh. ex Willd.","Salix bicolor",3029,"N","p",6,7,2,"s","do",NA,NA,"in","zo","X","AB","T3.1.1","Yes","Salix bicolor Ehrh. ex Willd.","5372945"
"Salix breviserrata Flod.","Salix breviserrata",3030,"S","p",6,7,2,"sv","do",NA,NA,"in","zo","X","AB",NA,"Yes","Salix breviserrata Flod.","7266834"
"Salix caprea L.","Salix caprea",3031,"M, N","p",3,4,2,"s","do",NA,NA,"in","zo","X","AB","T10.5.4, T2.3.1","Yes","Salix caprea L.","5372952"
"Salix cinerea L. s. l.","Salix cinerea",3032,"N","p",3,4,2,"sv","do",NA,NA,"in","zo","X","AB","L5.2, S3.1, S3.2.1, T2.1.2.1.2, T7.3","Yes","Salix cinerea L.","5372605"
"Salix daphnoides Vill.","Salix daphnoides",3033,"M, N","p",3,4,2,"sv","do",NA,NA,"in","zo","X","AB","L5.1.2","Yes","Salix daphnoides Vill.","9153437"
"Salix eleagnos Scop.","Salix eleagnos",3034,"M, N","p",4,5,2,"s","do",NA,NA,"in","zo","X","AB","L5.1.2, T1.4.1.3","Yes","Salix eleagnos Scop.","5372655"
"Salix eriocephala Michx.","Salix eriocephala",3035,"N","p",4,5,2,"s","do",NA,NA,"in","zo","X","AB",NA,"Yes","Salix eriocephala Michx.","5372614"
"Salix fragilis L.","Salix fragilis",3036,"M","p",3,5,3,"sv","do","g2",NA,"in","zo","X","AB","L4.1, L4.2, L4.3, L4.4","Yes","Salix fragilis L.","5372829"
"Salix glabra Scop.","Salix glabra",3037,"N","p",5,6,2,"s","do",NA,NA,"in","zo","X","AB","T3.1.1","Yes","Salix glabra Scop.","5583850"
"Salix hastata L.","Salix hastata",3038,"N","p",5,7,3,"s","do",NA,NA,"in","zo","X","AB","T3.1.1, T3.1.3","Yes","Salix hastata L.","5372554"
"Salix herbacea L.","Salix herbacea",3039,"S","p",6,8,3,"vvs","do","g2",NA,"wi, in","ab, zo","X","AB","T3.3.1, T3.4.1",NA,"Salix herbacea L.","5373083"
"Salix myrsinifolia Salisb.","Salix myrsinifolia",3040,"M, N","p",4,5,2,"s","do",NA,NA,"in","zo","X","AB","L5.2.3, S3.2.1, S3.2.5","Yes","Salix myrsinifolia Salisb.","5372875"
"Salix myrtilloides L.","Salix myrtilloides",3041,"S","p",4,5,2,"sv","do",NA,NA,"in","zo","X","AB","S3.2.1","Yes","Salix myrtilloides L.","7482782"
"Salix pentandra L.","Salix pentandra",3042,"M, N","p",5,6,2,"s","do",NA,NA,"in","zo","X","AB","L5.2, S3.2.1","Yes","Salix pentandra L.","5372647"
"Salix purpurea L.","Salix purpurea",3043,"M, N","p",3,4,2,"s","do","g2",NA,"in","zo","X","AB","L5.2.1","Yes","Salix purpurea L.","5372800"
"Salix repens L. (s. l.)","Salix repens",3044,"N, S","p",4,6,3,"sv","do",NA,NA,"in","zo","X","AB","H1.2.2.5, H1.2.2.6, H1.2.2.7, T2.1, T2.1.2.2, T4.1","Yes","Salix repens L.","9148812"
"Salix reticulata L.","Salix reticulata",3045,"S","p",7,8,2,"sv","do","g2",NA,"in","zo","X","AB","T3.3.2","Yes","Salix reticulata L.","5372693"
